file_name,stem,extension,path,relative_path,size_mb,modified_at
DJI_20260510130237_0082_V.JPG,DJI_20260510130237_0082_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130237_0082_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130237_0082_V.JPG,1.146,2026-06-08 10:31:10
DJI_20260510130248_0083_V.JPG,DJI_20260510130248_0083_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130248_0083_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130248_0083_V.JPG,1.124,2026-06-08 10:31:11
DJI_20260510130256_0084_V.JPG,DJI_20260510130256_0084_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130256_0084_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130256_0084_V.JPG,1.286,2026-06-08 10:31:11
DJI_20260510130305_0085_V.JPG,DJI_20260510130305_0085_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130305_0085_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130305_0085_V.JPG,1.327,2026-06-08 10:31:11
DJI_20260510130313_0086_V.JPG,DJI_20260510130313_0086_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130313_0086_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E64\DJI_20260510130313_0086_V.JPG,1.197,2026-06-08 10:31:12
DJI_20260510130325_0087_V.JPG,DJI_20260510130325_0087_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130325_0087_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130325_0087_V.JPG,1.058,2026-06-08 10:31:12
DJI_20260510130337_0088_V.JPG,DJI_20260510130337_0088_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130337_0088_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130337_0088_V.JPG,1.008,2026-06-08 10:31:12
DJI_20260510130344_0089_V.JPG,DJI_20260510130344_0089_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130344_0089_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130344_0089_V.JPG,1.122,2026-06-08 10:31:13
DJI_20260510130351_0090_V.JPG,DJI_20260510130351_0090_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130351_0090_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130351_0090_V.JPG,1.165,2026-06-08 10:31:13
DJI_20260510130356_0091_V.JPG,DJI_20260510130356_0091_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130356_0091_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E65\DJI_20260510130356_0091_V.JPG,1.1,2026-06-08 10:31:13
