file_name,Name,destination_path,overall_status,source_path,copy_status,copy_error,mosaic_add_status,mosaic_add_error,footprint_status,footprint_error,attribute_status,attribute_rows_updated,attribute_missing_fields,attribute_error
GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,CL_MLP_PAO_IF_Ortho_26_05_02_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_02_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,CL_MLP_PAO_IF_Ortho_26_05_08_Orejas17_Ruta-D-865,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Puerto_Punta_Chungo_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_Orejas17_Ruta-D-865.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4-1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4-1.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_09_EDT,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Puerto_Punta_Chungo_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_09_EDT.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif,CL_MLP_PAO_IF_Ortho_26_05_08_DME_13,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_DME_13.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_08_SRA-2-km-56p1-a-57p7-Area-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_SRA-2-km-56p1-a-57p7-Area-2.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif,CL_MLP_PAO_IF_Ortho_26_05_08_NSTC_km_4p4_a_7p0,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_NSTC_km_4p4_a_7p0.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif,CL_MLP_PAO_IF_Ortho_26_05_08_Chacay_El_Mauro_Drone,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_Chacay_El_Mauro_Drone.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif,CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4-2.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif,CL_MLP_PAO_IF_Ortho_26_05_08_SRA_2_km_54p6_a_56p1_Area-1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_08_SRA_2_km_54p6_a_56p1_Area-1.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif,CL_MLP_PAO_IF_Ortho_26_05_10_DME7_PA7_IF6,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_DME7_PA7_IF6.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif,CL_MLP_PAO_IF_Ortho_26_05_29_EV1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_29_EV1.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif,dry_run,,dry_run,,dry_run,,dry_run,0,,
