file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder
GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif,GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif,5.468,2026-06-11 10:39:25,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif,GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif,3.543,2026-06-11 10:39:26,20260206_Geosupport_primera entrega,True
SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif,SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif,717.701,2026-05-30 15:12:22,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,79.159,2026-06-05 11:44:49,20260519_Geosupport,False
GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,11.012,2026-06-05 11:44:50,20260519_Geosupport,False
GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,762.001,2026-06-05 11:44:57,20260519_Geosupport,False
GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,640.965,2026-06-05 11:45:11,20260519_Geosupport,False
GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,63.628,2026-06-05 11:45:18,20260519_Geosupport,False
GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,102.047,2026-06-05 11:45:22,20260519_Geosupport,False
GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,156.844,2026-06-05 11:45:24,20260519_Geosupport,False
