order,map_name,depth,group_path,layer_path,layer_name,long_name,is_group_layer,is_broken,visible,data_source,connection_info
28,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Área Relocalización Fauna (Anfibios),Área Relocalización Fauna (Anfibios),Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Área Relocalización Fauna (Anfibios),False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_146_PO,"{'dataset': 'CL_MLP_PAO_PASM_146_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
30,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Punto Referencia Predios,Punto Referencia Predios,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Punto Referencia Predios,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_148_PU_Ref_Predios,"{'dataset': 'CL_MLP_PAO_PASM_148_PU_Ref_Predios', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
31,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Áreas de Corta,Áreas de Corta,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Áreas de Corta,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_148_PO_Areas_Corta,"{'dataset': 'CL_MLP_PAO_PASM_148_PO_Areas_Corta', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
32,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Rodales,Rodales,Permisos\PERMISOS FFAP\PASM 148: Corta Bosque Nativo\Rodales,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_148_PO_Rodales,"{'dataset': 'CL_MLP_PAO_PASM_148_PO_Rodales', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
34,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal\Punto Referencia Predios,Punto Referencia Predios,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal\Punto Referencia Predios,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_149_PU_Ref_Predios,"{'dataset': 'CL_MLP_PAO_PASM_149_PU_Ref_Predios', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
35,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal\Áreas de Corta,Áreas de Corta,Permisos\PERMISOS FFAP\PASM 149: Corta Plantaciones Forestal\Áreas de Corta,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_149_PO_Areas_Corta,"{'dataset': 'CL_MLP_PAO_PASM_149_PO_Areas_Corta', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
38,MLP SIG PAO LAYOUT OFFLINE v4,4,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis\Intervencion Individuos BNP | Prosopis,Intervencion Individuos BNP | Prosopis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis\Intervencion Individuos BNP | Prosopis,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Prosopis,"{'dataset': 'CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Prosopis', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
39,MLP SIG PAO LAYOUT OFFLINE v4,4,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis\Intervencion Área de BNP | Prosopis,Intervencion Área de BNP | Prosopis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Prosopis chilensis\Intervencion Área de BNP | Prosopis,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_150_PO_Intervencion_BNP_Prosopis,"{'dataset': 'CL_MLP_PAO_PASM_150_PO_Intervencion_BNP_Prosopis', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
41,MLP SIG PAO LAYOUT OFFLINE v4,4,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis\Alteracion Individuos BNP | Porlieria,Alteracion Individuos BNP | Porlieria,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis\Alteracion Individuos BNP | Porlieria,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Porlieria,"{'dataset': 'CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Porlieria', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
42,MLP SIG PAO LAYOUT OFFLINE v4,4,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis\Intervencion Individuos BNP | Porlieria,Intervencion Individuos BNP | Porlieria,Permisos\PERMISOS FFAP\PASM 150: Intervención de Bosque Nativo de Preservación\Afectación BNP: Porlieria chilensis\Intervencion Individuos BNP | Porlieria,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Porlieria,"{'dataset': 'CL_MLP_PAO_PASM_150_PU_Intervencion_Individuos_Porlieria', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
