"triage_status","load_status","file_name","expected_name","expected_date_token","expected_sector","date_exists_in_mosaic","matched_mosaic_path","relative_path"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_27_eb2","26_03_27","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002300_ortofoto completa.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","CL_MLP_PAO_IF_Ortho_26_04_12_eb2","26_04_12","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","CL_MLP_PAO_IF_Ortho_26_04_19_eb2","26_04_19","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","CL_MLP_PAO_IF_Ortho_26_04_26_eb2","26_04_26","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","CL_MLP_PAO_IF_Ortho_26_04_30_plataforma","26_04_30","plataforma","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","CL_MLP_PAO_IF_Ortho_26_05_02_eb2","26_05_02","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif"
"ya_cargada","ya_cargada","GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_09_edt","26_05_09","edt","True",".\puerto_punta_chungo_drone\26_05_09\cl_mlp_pao_if_ortho_26_05_09_edt.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","CL_MLP_PAO_IF_Ortho_26_05_08_dep13_pv5","26_05_08","dep13_pv5","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_08_patio_sdrnp","26_05_08","patio_sdrnp","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif"
"nueva_alta_confianza","nueva_candidata","SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","CL_MLP_PAO_IF_Ortho_26_05_29_sin_id_estacion_de_valvulas_n_1","26_05_29","sin_id_estacion_de_valvulas_n_1","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_01_estacion_cabeceras","26_05_01","estacion_cabeceras","True","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_eb3","26_05_06","eb3","True","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_ssee","26_05_06","ssee","True","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125","26_05_06","tramo_2_linea_33_kv_e_085_e_125","True","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_10_ed1","26_05_10","ed1","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp","26_05_10","helipuerto_mauro_mlp","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b","26_05_10","patio_19b","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif","CL_MLP_PAO_IF_Ortho_26_05_10_em2","26_05_10","em2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084","26_05_07","tramo_2_linea_33_kv_e_048_e_084","True","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2","26_05_10","tramo_1_linea_33_kv_e_125_ml_eb2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_monitoreo_n_2","26_05_13","estacion_de_monitoreo_n_2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_acceso_pozos_prp","26_05_13","acceso_pozos_prp","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_subestacion_el_mauro","26_05_13","subestacion_el_mauro","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_em2_2","26_05_13","em2_2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_ebd","26_05_13","ebd","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_ed2","26_05_13","ed2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_bombeo_no3","26_05_13","estacion_de_bombeo_no3","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_pozos_prp","26_05_13","pozos_prp","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_estacion_intermedia_3","26_05_13","estacion_intermedia_3","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_em3","26_05_14","em3","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_14_camino_alternativo_salamanca","26_05_14","camino_alternativo_salamanca","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","","","","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_em4","26_05_14","em4","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro","26_05_15","helipuerto_mauro","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro","26_05_15","helipuerto_mauro","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_15_ev1","26_05_15","ev1","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_15_estacion_cabecera","26_05_15","estacion_cabecera","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif","","","","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif","CL_MLP_PAO_IF_Ortho_26_05_17_ev2","26_05_17","ev2","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_17_edt","26_05_17","edt","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","","","","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_em1","26_05_15","em1","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002665_ORTOFOTO_LINEA 33KV E-085-E125 ( Prioridad 7)_16_16_05_26.tif","","","","False","","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002665_ORTOFOTO_LINEA 33KV E-085-E125 ( Prioridad 7)_16_16_05_26.tif"
